EVENT_LOG	DISCOVERY_ALG	ALIGN	PROP2	PROP	BL	FREQ_50	FREQ_25	TIME_ALIGN	TIME_PROP2	TIME_PROP	TIME_BL	TIME_FREQ_50	TIME_FREQ_25
BPI_Challenge_2013_open_problems	IMd	1.0	1.0	1.0	1.0	0.9996	0.9996	0.6793	0.11	0.17	0.1	0.3102	0.1334
BPI_Challenge_2013_incidents	IMf	0.7246	0.7246	0.7251	0.7644	0.7607	0.739	45.5834	0.81	1.2	0.39	17.7003	7.1501
BPI_Challenge_2013_incidents	IMd	1.0	1.0	1.0	1.0	0.9997	0.9997	52.8198	0.76	1.07	0.36	27.8648	8.891
BPI_Challenge_2020_DomesticDeclarations	IMf	0.935	0.935	0.935	0.935	0.9384	0.9403	1.3636	0.82	1.14	0.79	0.4409	0.2279
BPI_Challenge_2020_DomesticDeclarations	IMd	0.9842	0.9842	0.9842	0.9867	0.984	0.9851	1.2833	0.24	0.37	0.18	0.6398	0.3121
BPI_Challenge_2020_DomesticDeclarations	ETM	0.9594	0.9594	0.9594	0.9606	0.9678	0.9703	3.5575	0.31	0.51	0.2	1.1712	0.4509
5a_VARA_CIVEL_-_TJMT	IMf	0.6088	0.6088	0.6088	0.6738	0.3905	0.4203	84.4544	12.61	16.77	0.54	52.6394	17.1086
5a_VARA_CIVEL_-_TJMT	IMd	0.5364	0.5364	0.5383	0.6379	0.3576	0.383	11.5796	0.31	0.48	0.15	7.9055	2.609
5a_VARA_CIVEL_-_TJMT	ETM	0.4605	0.4301	0.4301	0.6281	0.5026	0.4529	486.11199999999997	1.27	1.44	0.35	272.7375	61.5351
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMf	0.6065	0.6065	0.6065	0.6065	0.5903	0.5625	244.6785	0.3	0.4	0.13	105.7581	43.7643
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMd	0.7063	0.7063	0.7063	0.7127	0.7109	0.6824	215.8912	0.45	0.55	0.24	119.0756	49.8535
