case:concept:name	CLUS_KME	CLUS_AGG	CLUS_ACT
10513_TRT18	0.3158	0.5882	0.5833
10514_TRT18	0.3158	0.5882	0.4167
10515_TRT18	0.3158	0.5882	0.5833
10516_TRT18	0.6316	0.2353	0.5
10517_TRT18	0.8158	0.5882	0.25
10518_TRT18	0.7895	0.5882	0.75
1051_TRT11	0.3947	0.2941	0.4167
1051_TRT12	0.7105	0.8824	0.25
1051_TRT4	0.7895	0.7647	0.5
10520_TRT18	0.1053	0.2353	0.9167
10522_TRT18	0.7895	0.5882	0.1667
1052_TRT11	0.5526	0.4706	0.4167
1052_TRT15	0.1579	0.1765	0.5
1052_TRT22	0.1316	0.7059	0.9167
1052_TRT4	0.4211	0.7059	0.1667
1052_TRT8	0.7105	0.5882	0.6667
10536_TRT18	0.1053	0.1765	0.5
1053_TRT11	0.2632	0.4706	0.0833
1053_TRT15	0.1316	0.2941	0.3333
1053_TRT20	0.1053	0.5882	0.25
1053_TRT8	0.7105	0.5882	0.5833
10544_TRT18	0.6316	0.1176	0.25
10545_TRT18	0.1053	0.1176	1.0
10546_TRT18	0.7895	0.5882	0.75
1054_TRT11	0.2632	0.4706	0.4167
1054_TRT15	0.0	0.0588	0.0833
1054_TRT21	0.0789	0.8235	0.3333
1054_TRT4	0.7895	0.7647	0.5
1054_TRT8	0.7105	0.5882	0.6667
10552_TRT18	0.6316	0.0588	0.5833
10553_TRT18	0.6316	0.2353	0.5
10555_TRT18	0.1053	0.0	0.0
1055_TRT15	0.0	0.1765	0.75
1055_TRT20	0.8684	0.5882	0.3333
1055_TRT22	0.1316	0.7059	0.9167
10560_TRT18	0.3158	0.5882	0.5833
10563_TRT18	0.7895	0.5882	0.8333
10564_TRT18	0.8158	0.5882	0.8333
10565_TRT18	0.6316	0.2353	0.25
10567_TRT18	0.1053	0.4706	0.5
10569_TRT18	0.6316	0.2353	0.25
1056_TRT11	0.3421	0.4706	0.0833
1056_TRT12	0.8421	0.5882	1.0
1056_TRT15	0.0789	0.0	0.0
1056_TRT20	0.8684	0.5882	0.4167
1056_TRT22	0.1316	0.7059	0.9167
