	exchange_leaf	exchange_op	exchange_subtree	prob_up	inner_similarity	trees_similarity	ARI	eps	balance
51	0	0	3	0.5	1.968	0.1873	1	5	0.1873
502	2	0	1	0.5	2.334	0.1872	1	4	0.1872
1392	5	3	0	0.7	1.369	0.2514	0.7428	5	0.18673992
404	1	2	2	0.7	1.09	0.2944	0.6341	5	0.18667904
722	3	0	0	0.3	1.383	0.1905	0.9793	5	0.18655665
524	2	0	2	0.7	1.752	0.1864	1	4	0.1864
426	1	3	0	0.5	2.17	0.1863	1	4	0.1863
1111	4	2	2	0.3	1.363	0.321	0.5794	5	0.1859874
653	2	2	3	0.5	1.882	0.1899	0.978	5	0.1857222
904	3	3	0	0.3	1.379	0.2091	0.8881	5	0.18570171
706	2	3	3	0.3	1.495	0.196	0.946	5	0.185416
528	2	0	3	0.3	1.726	0.1854	1	4	0.1854
285	1	0	3	0.3	1.126	0.1951	0.9476	5	0.18487676
1413	5	3	2	0.3	1.668	0.1908	0.9684	5	0.18477072
1420	5	3	2	0.7	1.725	0.2178	0.8478	5	0.18465084
349	1	1	3	0.3	1.251	0.2361	0.7819	5	0.18460659
201	0	3	1	0.5	1.579	0.2179	0.8466	5	0.18447414
656	2	2	3	0.7	1.902	0.1882	0.9801	5	0.18445482
336	1	1	2	0.5	1.644	0.1844	1	5	0.1844
761	3	0	2	0.7	1.903	0.1862	0.9889	5	0.18413318
1248	5	0	3	0.3	1.092	0.303	0.6069	5	0.1838907
862	3	2	1	0.5	1.326	0.1877	0.9796	5	0.18387092
50	0	0	3	0.5	2.06	0.183	1	5	0.183
1312	5	1	3	0.5	1.308	0.2068	0.8849	5	0.18299732
1134	4	2	3	0.5	1.256	0.3039	0.6018	5	0.18288702
1050	4	1	2	0.3	1.065	0.1827	1	4	0.1827
353	1	1	3	0.5	1.1	0.1825	1	5	0.1825
323	1	1	1	0.5	1.246	0.1905	0.9576	5	0.1824228
1035	4	1	1	0.3	1.395	0.1822	1	4	0.1822
1394	5	3	0	0.7	1.391	0.2728	0.6678	5	0.18217584
1072	4	1	3	0.5	1.583	0.2475	0.7344	5	0.181764
883	3	2	2	0.7	1.213	0.229	0.7934	4	0.1816886
953	3	3	3	0.5	1.187	0.2386	0.7605	5	0.1814553
